"Front","Back","Tags"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Main locations of smooth muscle in the body?","In walls of hollow organs except the heart: blood vessels, airways, stomach, intestines, bladder, uterus, and passageways of the circulatory, respiratory, digestive, and reproductive systems.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What is the major muscular exception to smooth muscle in hollow organs?","The heart, which contains cardiac muscle instead of smooth muscle.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Orientation and function of the longitudinal smooth muscle layer?","Fibers run parallel to the organ long axis; contraction shortens the organ length.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Orientation and function of the circular smooth muscle layer?","Fibers run around the organ; contraction constricts the lumen diameter.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Compare smooth muscle layer orientation in GI tract vs ureter.","GI tract: inner circular, outer longitudinal. Ureter: inner longitudinal, outer circular.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> How many layers of smooth muscle does the stomach have?","Three layers of smooth muscle.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Basic cell morphology and control of smooth muscle?","Spindle shaped cells with a single central nucleus, no striations, and involuntary control.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Typical size of a smooth muscle cell?","Length about 30 to 200 micrometers and diameter about 5 to 10 micrometers.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What connective tissue sheath does smooth muscle have?","Only an endomysium; it lacks perimysium and epimysium connective tissue sheaths.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What are varicosities and diffuse junctions in smooth muscle?","Varicosities are bulbous swellings of autonomic nerve fibers that release neurotransmitter into wide synaptic clefts called diffuse junctions.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Role of caveolae in smooth muscle sarcolemma?","Pouchlike infoldings of the sarcolemma that contain many calcium channels and help with extracellular calcium entry.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Compare smooth muscle SR and T tubules to skeletal muscle.","Smooth muscle has a less developed sarcoplasmic reticulum and lacks T tubules.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Are thick and thin filaments arranged in sarcomeres in smooth muscle?","No, thick and thin filaments are present but not arranged in sarcomeres, so there are no striations.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Special feature of thick filaments in smooth muscle vs skeletal?","Smooth muscle thick filaments have myosin heads along their entire length, allowing interaction over a larger range of cell lengths.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Ratio of thick to thin filaments in smooth vs skeletal muscle?","Smooth muscle: about 1 thick to 13 thin. Skeletal muscle: about 1 thick to 2 thin.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Regulatory proteins: what is absent in smooth muscle and what is present?","Smooth muscle lacks troponin, has tropomyosin that does not block actin binding sites, and uses calmodulin instead for calcium binding and regulation.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What structures anchor thin filaments in smooth muscle and what links them?","Dense bodies anchor thin filaments and intermediate filaments connect dense bodies to each other, forming a cytoskeletal network.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What is unitary (visceral) smooth muscle and where is it found?","A type of smooth muscle found in all hollow organs except the heart, arranged in opposing sheets, with cells electrically coupled and contracting as a unit.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Key properties of unitary smooth muscle (innervation and electrical coupling)?","Innervated by varicosities, often has spontaneous action potentials, cells are electrically coupled by gap junctions, and the tissue contracts as a functional syncytium.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Define slow wave potentials vs pacemaker potentials in smooth muscle.","Slow wave potentials are cyclic depolarizations and repolarizations that may not reach threshold; pacemaker potentials are spontaneous depolarizations that always reach threshold and trigger action potentials.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What is multiunit smooth muscle and where is it located?","Smooth muscle organized as individual fibers each with its own motor neuron terminal, few gap junctions, not self excitatory; found in large airways, large arteries, arrector pili muscles, and the iris.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Electrical and functional behavior of multiunit smooth muscle?","It has few gap junctions, does not show spontaneous depolarizations, and produces graded contractions in response to neural input rather than unitary contractions.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Describe the intermediate filament lattice and dense bodies in smooth muscle.","Intermediate filaments and dense bodies form a lattice that transmits tension to the sarcolemma; dense bodies anchor intermediate filaments to the membrane and within the cytoplasm and can form adherence junctions between cells.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> How does filament arrangement produce the characteristic contraction shape of smooth muscle?","Thick and thin filaments are arranged diagonally so contraction produces a corkscrew shape of the cell rather than straight shortening.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Why can smooth muscle contract effectively when greatly stretched?","Myosin heads on each side of the thick filament are oriented in opposite directions, so thin filaments on either side can slide in opposite directions and still generate force over a wide length range.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> Sequence of events in smooth muscle contraction starting from calcium entry.","Calcium influx from extracellular space and SR increases cytoplasmic calcium, calcium binds calmodulin, the calcium calmodulin complex activates myosin light chain kinase, which phosphorylates myosin light chains, activating myosin ATPase so myosin binds actin and cross bridge cycling produces contraction.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> How does smooth muscle relaxation occur at the molecular level?","Calcium is pumped back out of the cell and into the SR, decreasing cytosolic calcium, and myosin light chain phosphatase dephosphorylates myosin light chains, reducing cross bridge cycling and leading to relaxation.","SmoothMuscle"
"<span style='color:#e74c3c;font-weight:bold;'>[Smooth muscle]</span> What is the latch bridge mechanism in smooth muscle?","A state where myosin heads remain attached to actin for prolonged periods with little ATP use, allowing smooth muscle to maintain tension with low energy expenditure.","SmoothMuscle"
"<span style='color:#2980b9;font-weight:bold;'>[Homeostasis]</span> What is meant by a regulated variable in homeostasis?","A variable for which the body has a sensor and a set point and that is actively maintained near that set point by homeostatic control mechanisms.","Homeostasis"
"<span style='color:#2980b9;font-weight:bold;'>[Homeostasis]</span> What is meant by a non regulated variable in homeostasis?","A variable that is not directly sensed and controlled to a specific set point, but typically remains within a normal range over time, for example heart rate.","Homeostasis"
"<span style='color:#2980b9;font-weight:bold;'>[Homeostasis]</span> Define set point, sensor, error detector, integrating center, and effector in a homeostatic control system.","Set point: desired value of a regulated variable. Sensor: detector of the current value. Error detector: compares sensor input to set point. Integrating center: determines the appropriate response. Effector: executes the response to restore the variable toward the set point.","Homeostasis"
"<span style='color:#2980b9;font-weight:bold;'>[Homeostasis]</span> Distinguish negative feedback from positive feedback with examples.","Negative feedback returns a variable toward its set point, for example body temperature control. Positive feedback amplifies a response and drives the system away from the set point, for example blood clotting or uterine contractions during childbirth.","Homeostasis"
"<span style='color:#2980b9;font-weight:bold;'>[Homeostasis]</span> What is feedforward control and give an example.","A control mechanism that anticipates a change and initiates responses in advance, for example salivation and digestive secretions when smelling food before ingestion.","Homeostasis"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Main effectors of the autonomic nervous system?","Smooth muscle, cardiac muscle, and glands.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> General functions of the autonomic nervous system in supporting body activities.","It adjusts functions subconsciously by shunting blood to active areas, adjusting heart rate, blood pressure, digestive activity, and pupil size to ensure optimal support for body activities.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> How does the somatic nervous system efferent pathway differ from the autonomic pathway?","Somatic: one neuron from CNS to skeletal muscle, thick myelinated axon, always excitatory and uses acetylcholine. Autonomic: two neuron chain, preganglionic neuron in CNS with lightly myelinated axon to a ganglion, postganglionic neuron with unmyelinated axon to effector, can be excitatory or inhibitory and releases acetylcholine or norepinephrine.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Define preganglionic and postganglionic neurons in the ANS.","Preganglionic neuron has its cell body in the CNS and sends a thin lightly myelinated axon to an autonomic ganglion where it releases acetylcholine. Postganglionic neuron has its cell body in the ganglion and sends an unmyelinated axon to the effector, releasing acetylcholine or norepinephrine.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Main functional role of the parasympathetic division vs the sympathetic division.","Parasympathetic promotes maintenance functions and conserves energy, rest and digest. Sympathetic mobilizes the body during activity, fight or flight.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> What is dual innervation and why is it important?","Most viscera receive both sympathetic and parasympathetic fibers, which usually have opposite effects, allowing fine control of organ function by shifting the balance between the two divisions.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> What is parasympathetic tone and where does it dominate?","A basal level of parasympathetic activity that dominates the heart and smooth muscle of digestive and urinary tracts, slowing heart rate and setting normal activity levels of digestive and urinary systems.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Name structures that receive only sympathetic innervation and list two unique sympathetic functions.","Only sympathetic: adrenal medulla, sweat glands, arrector pili muscles, kidneys, and most blood vessels. Unique functions include thermoregulation via sweat and arteriole diameter, renin release from kidneys, and metabolic effects such as increasing blood glucose and mobilizing fats.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Why are parasympathetic effects usually localized and short lived compared to sympathetic effects?","Parasympathetic neurotransmitter acetylcholine is quickly destroyed by acetylcholinesterase, limiting effects, whereas sympathetic norepinephrine is inactivated more slowly and adrenal medulla hormones circulate in blood, producing longer lasting and more diffuse effects.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Three main levels of central control of the ANS.","Hypothalamus, brain stem, and spinal cord.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Major ANS functions controlled by the hypothalamus.","Heart rate, blood pressure, body temperature, water balance, endocrine activity, and emotional autonomic responses.","ANS"
"<span style='color:#16a085;font-weight:bold;'>[ANS]</span> Give two examples of ANS related disorders and the division involved.","Hypertension: often due to overactive sympathetic vasoconstrictor responses. Some ulcers: can result from overactive parasympathetic activity that alters blood flow and acid secretion in the stomach lining.","ANS"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Define a hormone.","A chemical messenger secreted into extracellular fluid and transported in the blood to regulate the activity of target cells at a distance.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Distinguish endocrine and exocrine glands with examples.","Endocrine glands are ductless and release hormones into the blood, for example pituitary or thyroid. Exocrine glands have ducts and secrete onto body surfaces or into cavities, for example sweat or salivary glands.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Two major chemical classes of hormones and solubility properties.","Amino acid based hormones are generally water soluble and cannot cross the plasma membrane, acting via surface receptors and second messengers. Steroid hormones are lipid soluble, cross the membrane, and act via intracellular receptors and direct gene activation.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Give examples of amino acid based hormones and of steroid hormones.","Amino acid based: amines like epinephrine and norepinephrine, peptides such as ADH and oxytocin, proteins such as insulin and growth hormone. Steroid: gonadal hormones such as estrogen and testosterone, and adrenocortical hormones such as cortisol and aldosterone.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> List the five key steps of the cAMP second messenger signaling pathway.","Hormone binds its receptor, receptor activates G protein, G protein activates adenylate cyclase, adenylate cyclase converts ATP to cAMP, cAMP activates protein kinases that phosphorylate target proteins to produce a cellular response.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> How can cAMP signaling lead to activation of transcription?","cAMP activates protein kinase A, which can enter the nucleus and phosphorylate transcription factors that bind DNA and promote transcription of specific genes.","Endocrine"
